10bit
adaptive

# Adaptive Scanline Filters
# The original filename is:
# SLA_Dk_000_Br_020.txt

# The parameters used to generate the filters are:
# base=gs3, k=1.550, dp=2.200, bp=1.080

# Dark Coefficients
   0,  21,  97,   0
   0,  21, 100,   0
   0,  21, 102,   0
   0,  21, 105,   0
   0,  21, 108,   0
   0,  20, 110,   0
   0,  20, 113,   0
   0,  20, 116,   0
   0,  20, 118,   0
   0,  20, 121,   0
   0,  20, 124,   0
   0,  19, 127,   0
   0,  19, 129,   0
   0,  19, 132,   0
   0,  19, 135,   0
   0,  18, 138,   0
   0,  18, 141,   0
   0,  18, 143,   0
   0,  18, 146,   0
   0,  18, 149,   0
   0,  17, 152,   0
   0,  17, 154,   0
   0,  17, 157,   0
   0,  17, 160,   0
   0,  16, 163,   0
   0,  16, 165,   0
   0,  16, 168,   1
   0,  16, 171,   1
   0,  15, 173,   1
   0,  15, 176,   1
   0,  15, 178,   1
   0,  15, 181,   1
   0,  14, 183,   1
   0,  14, 186,   1
   0,  14, 188,   1
   0,  14, 191,   1
   0,  13, 193,   1
   0,  13, 196,   1
   0,  13, 198,   1
   0,  12, 200,   1
   0,  12, 202,   1
   0,  12, 205,   1
   0,  12, 207,   1
   0,  11, 209,   1
   0,  11, 211,   1
   0,  11, 213,   1
   0,  11, 215,   1
   0,  10, 217,   1
   0,  10, 219,   1
   0,  10, 221,   1
   0,  10, 222,   1
   0,  10, 224,   1
   0,   9, 226,   2
   0,   9, 227,   2
   0,   9, 229,   2
   0,   9, 230,   2
   0,   8, 232,   2
   0,   8, 233,   2
   0,   8, 234,   2
   0,   8, 236,   2
   0,   8, 237,   2
   0,   7, 238,   2
   0,   7, 239,   2
   0,   7, 240,   2
   0,   7, 241,   2
   0,   7, 242,   3
   0,   6, 242,   3
   0,   6, 243,   3
   0,   6, 244,   3
   0,   6, 245,   3
   0,   6, 245,   3
   0,   6, 246,   3
   0,   5, 246,   3
   0,   5, 246,   3
   0,   5, 247,   3
   0,   5, 247,   4
   0,   5, 247,   4
   0,   5, 247,   4
   0,   4, 248,   4
   0,   4, 248,   4

